split,image_file,object_index,brisque_score,class,bbox
train,00c571edd_jpg.rf.4184a179630e91b170f3d085f3560893.jpg,0,14.448349591363666,0,"{'class': 0, 'x_min': 528, 'y_min': 0, 'x_max': 604, 'y_max': 35}"
train,026bb1723_jpg.rf.b6669cecd3e40790682e180b780766d1.jpg,0,13.344940305529889,0,"{'class': 0, 'x_min': 501, 'y_min': 326, 'x_max': 570, 'y_max': 405}"
train,056949650_jpg.rf.cbb1f0013e0b0477ab115b1ca5032aec.jpg,0,-0.24596706786840628,0,"{'class': 0, 'x_min': 636, 'y_min': 595, 'x_max': 767, 'y_max': 698}"
train,05ef7a103_jpg.rf.456682ee7c9a74f259775eb9f2d171b1.jpg,0,155.845,0,"{'class': 0, 'x_min': 326, 'y_min': 7, 'x_max': 336, 'y_max': 19}"
train,0692c75b0_jpg.rf.6f54b40daa84a400270eb7a9cc4fb4bf.jpg,0,155.845,0,"{'class': 0, 'x_min': 133, 'y_min': 253, 'x_max': 150, 'y_max': 266}"
train,0a1ea1af4_jpg.rf.987b79bbd61270bc6f4eadcd308fe798.jpg,0,48.74512055555371,0,"{'class': 0, 'x_min': 101, 'y_min': 393, 'x_max': 140, 'y_max': 416}"
train,0eb4122ff_jpg.rf.3cbb949758e09e24239a49554a8ceb8a.jpg,0,155.845,0,"{'class': 0, 'x_min': 621, 'y_min': 477, 'x_max': 640, 'y_max': 496}"
train,0f93eb91d_jpg.rf.378157170ff536fe5537c0fe6941bcfe.jpg,0,6.994323312149135,0,"{'class': 0, 'x_min': 106, 'y_min': 207, 'x_max': 230, 'y_max': 246}"
train,0__20160905_193458_0c37__-122-33756251259427_37-739119954394575_png_jpg.rf.fa2578940ed2e215f93b95a582a240fa.jpg,0,155.845,0,"{'class': 0, 'x_min': 0, 'y_min': 43, 'x_max': 25, 'y_max': 80}"
train,0__20160905_193458_0c37__-122-340008531414_37-74740774072642_png_jpg.rf.3313654b6dd0824d7acb93aae3053f70.jpg,0,41.611450512501705,0,"{'class': 0, 'x_min': 0, 'y_min': 6, 'x_max': 25, 'y_max': 80}"
train,0__20160905_193458_0c37__-122-34588841807276_37-756417599310865_png_jpg.rf.cce4587b87f04b36f0dd55ea054cfe1c.jpg,0,88.52406093352076,0,"{'class': 0, 'x_min': 58, 'y_min': 0, 'x_max': 80, 'y_max': 58}"
train,0__20161018_193329_0c45__-122-35795190402878_37-76738080220403_png_jpg.rf.7005717354d5f8213d4d5c8ca96c635e.jpg,0,47.15968622855527,0,"{'class': 0, 'x_min': 70, 'y_min': 412, 'x_max': 616, 'y_max': 612}"
train,0__20161018_193329_0c45__-122-35795190402878_37-76738080220403_png_jpg.rf.b8567624be87b08e8d9f4358d257186c.jpg,0,51.54309130186331,0,"{'class': 0, 'x_min': 0, 'y_min': 0, 'x_max': 522, 'y_max': 301}"
train,0__20161018_193329_0c45__-122-35795190402878_37-76738080220403_png_jpg.rf.caba4e1424a6a7917ab551450f7f28ab.jpg,0,17.223362118832,0,"{'class': 0, 'x_min': 44, 'y_min': 0, 'x_max': 78, 'y_max': 65}"
train,0__20161102_180658_0e26__-122-32843644745485_37-73923054907409_png_jpg.rf.e1c0bbfea5e17fff0a25c6e6200aa25a.jpg,0,34.64069505316158,0,"{'class': 0, 'x_min': 17, 'y_min': 45, 'x_max': 51, 'y_max': 79}"
train,0__20161102_202001_0c75__-122-34063654545157_37-74954736876207_png_jpg.rf.67d830fa10be51727fc024a83b3340a9.jpg,0,147.14966010092442,0,"{'class': 0, 'x_min': 0, 'y_min': 20, 'x_max': 32, 'y_max': 80}"
train,0__20161103_195523_0c27__-122-3397839767114_37-73818603740347_png_jpg.rf.8b7f2e96a02a88ce8465382f997ef1f1.jpg,0,20.696290914120908,0,"{'class': 0, 'x_min': 51, 'y_min': 20, 'x_max': 80, 'y_max': 80}"
train,0__20161116_180803_0e14__-122-33750935807309_37-73744320990945_png_jpg.rf.11b98fa1ddc97b9aa7dcd0658086be6c.jpg,0,32.80455536287329,0,"{'class': 0, 'x_min': 0, 'y_min': 22, 'x_max': 22, 'y_max': 73}"
train,0__20161116_180803_0e14__-122-33847420291816_37-73615073488808_png_jpg.rf.10581b5b68f38e96bb79e925037b1a4c.jpg,0,78.65315837367777,0,"{'class': 0, 'x_min': 22, 'y_min': 0, 'x_max': 51, 'y_max': 25}"
train,0__20161202_180734_0e30__-122-34752499991899_37-767837278289846_png_jpg.rf.053c448a24f76cf3256d1f20fdd2f32f.jpg,0,46.59673453668367,0,"{'class': 0, 'x_min': 247, 'y_min': 280, 'x_max': 399, 'y_max': 639}"
train,0__20161218_180845_0e26__-122-32608603844608_37-72807687984217_png_jpg.rf.7d9ae2f31fbe3c03a44f81c3cf097ac6.jpg,0,150.30859133233463,0,"{'class': 0, 'x_min': 6, 'y_min': 8, 'x_max': 55, 'y_max': 22}"
train,0__20161218_180845_0e26__-122-32608603844608_37-72807687984217_png_jpg.rf.d5fabf7b32dc7471432d20d19f6c664b.jpg,0,43.8154259789778,0,"{'class': 0, 'x_min': 65, 'y_min': 200, 'x_max': 173, 'y_max': 584}"
train,0__20161218_180845_0e26__-122-3520699707373_37-75053011796804_png_jpg.rf.2582b8cdc4995778215115617ccbf680.jpg,0,55.64870345617666,0,"{'class': 0, 'x_min': 332, 'y_min': 243, 'x_max': 638, 'y_max': 446}"
train,0__20161218_180845_0e26__-122-3520699707373_37-75053011796804_png_jpg.rf.77e52f033ec6f9a0e8befccb2d6e42c6.jpg,0,151.68252846220813,0,"{'class': 0, 'x_min': 41, 'y_min': 33, 'x_max': 80, 'y_max': 56}"
train,0__20161218_180845_0e26__-122-3520699707373_37-75053011796804_png_jpg.rf.eb28b772e721b0771ad363229141904f.jpg,0,44.699097949148126,0,"{'class': 0, 'x_min': 246, 'y_min': 1, 'x_max': 443, 'y_max': 308}"
train,10793d31b_jpg.rf.3ddf3895510c748a5ba6c41dd311237c.jpg,0,42.373583420184076,0,"{'class': 0, 'x_min': 123, 'y_min': 323, 'x_max': 357, 'y_max': 454}"
train,1259ac4ef_jpg.rf.061e48e252c5d22dbea8e95f60310cb1.jpg,0,42.7961078207297,0,"{'class': 0, 'x_min': 67, 'y_min': 542, 'x_max': 201, 'y_max': 571}"
train,1259ac4ef_jpg.rf.061e48e252c5d22dbea8e95f60310cb1.jpg,1,36.02109188451115,0,"{'class': 0, 'x_min': 117, 'y_min': 67, 'x_max': 199, 'y_max': 92}"
train,1259ac4ef_jpg.rf.061e48e252c5d22dbea8e95f60310cb1.jpg,2,42.16064535470284,0,"{'class': 0, 'x_min': 711, 'y_min': 157, 'x_max': 729, 'y_max': 176}"
